Sl.No,Name of the station,District,Taluk,Revenue Village,Latitude,Longitude,Started on
116, DSCL Virugavoor,Kallakurichi,Kallakurichi,VIRUGAVOOR,11.6861,79.0473,18-10-2018
117, Sankarapuram,Kallakurichi,Sankarapuram,VADASIRUVALLUR,11.8833,78.9167,01-01-2011
118, DSCL Madampoondi,Kallakurichi,Tirukkoilur,MADAMPOONIDI,11.9526,79.0952,18-10-2018
119, TIRUKOILUR,Kallakurichi,Tirukkoilur,THIRUKOILUR (NORTH),11.9667,79.2167,01-01-2011
120, DSCL Thirupalapandal,Kallakurichi,Tirukkoilur,THIRUPALAPANTHAL,11.9465,79.1329,18-10-2018
121, BASL Vengur,Kallakurichi,Tirukkoilur,VENGUR,11.8927,79.1857,18-10-2018
122, SCS MILL Pillayarkuppam,Kallakurichi,Ulundurpet,AATHUR,11.7917,79.3137,18-10-2018
123, DSCL Eraiyur,Kallakurichi,Ulundurpet,ERAIYUR,11.785,79.197,18-10-2018
124, ULUNDURPET,Kallakurichi,Ulundurpet,U.KEERANUR,11.6774,79.2885,01-01-2011
125, KCS MILL-1 Ariyalur,Kallakurichi,Vanapuram,ARIYALUR,11.9281,79.0069,18-10-2018
126, KCS MILL-1 Kadavanur,Kallakurichi,Vanapuram,KADUVANUR,11.9399,78.9526,18-10-2017
127, DSCL Kalayanallur,Kallakurichi,Vanapuram,KALAIYANALLUR,11.7726,79.0594,18-10-2018
128, DSCL Keezhpadi,Kallakurichi,Vanapuram,KEEZHPADI,11.8668,79.0766,18-10-2018
129, BASL Manalurpet,Kallakurichi,Vanapuram,MANALURPETTAI,12.0124,79.0927,18-10-2018
130, KCS MILL-2 Moorarpalayam,Kallakurichi,Vanapuram,MAROOR,11.8252,78.9456,18-10-2018
131, KCS MILL-1 Moongilthuraipattu,Kallakurichi,Vanapuram,MUNGILDURAIPATTU,12.0217,78.9881,18-10-2018
132, DSCL Rishivandiyam,Kallakurichi,Vanapuram,RISHIVANTHIYAM,11.8145,79.0971,18-10-2018
133, DSCL Sulangurichi,Kallakurichi,Vanapuram,SOOLANGKURICHI,11.804,79.0136,18-10-2018
134, Manimutharu Dam (PWD),Kallakurichi,Vanapuram,SOOLANGKURICHI,11.8145,78.9984,07-11-2022
135, Ariyalur camp area,Kallakurichi,Vanapuram,VANAPURAM,11.9272,79.011,07-11-2022
136, Kancheepuram taluk office,Kancheepuram,Kancheepuram,KANCHEEPURAM,12.8335,79.7021,01-01-1994
137," Taluk Office, Kundrathur",Kancheepuram,Kundrathur,KOLLACHERI,13.003,80.0991,07-11-2022
138, Chembarampakkam,Kancheepuram,Kundrathur,KUNRATHUR - A,13.0042,80.0338,01-01-1990
139, Sriperumbadur,Kancheepuram,Sriperumbudur,SRIPERUMBUDUR A,12.9673,79.9467,01-01-2007
140, UTHIRAMERUR,Kancheepuram,Uthiramerur,UTTHIRAMERUR,12.6153,79.7561,01-01-2009
141, Walajabad,Kancheepuram,Walajabad,WALAJABAD,12.794,79.8169,01-01-2017
142, Kannimar,Kanniyakumari,Agastheeswaram,KANNIYAKUMARI,8.08399,77.547,01-01-2000
143, Kottaram,Kanniyakumari,Agastheeswaram,KOTTARAM EAST,8.11668,77.5255,01-01-2000
144, Mylaudy,Kanniyakumari,Agastheeswaram,MYLAADY,8.15,77.5,01-01-2000
145, Nagercoil,Kanniyakumari,Agastheeswaram,NAGERCOIL SOUTH TOWN,8.16667,77.45,01-01-1998
146, Colachel,Kanniyakumari,Kalkulam,COLACHEL A,8.17412,77.2501,01-01-2000
147, Eraniel,Kanniyakumari,Kalkulam,ERANIEL,8.2,77.3167,01-01-2000
148, Thuckalay,Kanniyakumari,Kalkulam,KALKULAM,8.24137,77.3191,01-01-2000
149, Adayamadai,Kanniyakumari,Kalkulam,KUMARAPURAM,8.30916,77.3136,07-11-2022
150, Kurunthancode,Kanniyakumari,Kalkulam,KURUNTHANCODE A,8.17812,77.3368,07-11-2022
151, Kozhiporvilai,Kanniyakumari,Kalkulam,MULAGUMOODU,8.24843,77.2886,07-11-2022
152, Mambzhathuraiyaru,Kanniyakumari,Kalkulam,VILLUKKURI A,8.2328,77.3785,07-11-2022
153, Mullanginavilai,Kanniyakumari,Killiyoor,MULLANKINAVILAI,8.26345,77.2355,07-11-2022
154, Suralacode,Kanniyakumari,Thiruvattar,CHURULACODE,8.3357,77.3796,01-01-2000
155, Pechiparai,Kanniyakumari,Thiruvattar,PECHIPARAI,8.43333,77.3167,01-02-2000
156, Perunchani,Kanniyakumari,Thiruvattar,PERUNCHANI,8.40028,77.4092,01-01-1997
